ID_Falla,Machine Name,EQ Type,Shift,Cluster
73,ADAMS,Robot,2nd,B
74,ADAMS,IMM,2nd,B
75,ADAMS,IMM,3rd,B
76,ADAMS,Termoregulador,2nd,B
77,ADAMS,IMM,1st,B
78,ADAMS,Secador,1st,B
79,ADAMS,IMM,2nd,B
80,ADAMS,Termoregulador,2nd,B
81,ADAMS,Hot Runner,1st,B
82,ADAMS,Secador,2nd,B
83,ADAMS,IMM,3rd,B
84,ADAMS,IMM,2nd,B
85,ADAMS,Robot,2nd,B
86,ADAMS,Robot,3rd,B
87,ADAMS,Cortadora,3rd,B
88,ADAMS,Secador,3rd,B
89,ADAMS,Fixture,1st,B
90,ADAMS,Fiuxture,1st,B
91,ADAMS,IMM,2nd,B
92,ADAMS,Cargador,3rd,B
93,ADAMS,IMM,3rd,B
94,ADAMS,IMM,3rd,B
95,ADAMS,IMM,3rd,B
96,ADAMS,Fixture,3rd,B
97,ADAMS,Fixture,3rd,B
98,ADAMS,Termoregulador,3rd,B
99,ADAMS,IMM,1st,B
100,ADAMS,IMM,2nd,B
101,ADAMS,Fixture,2nd,B
102,ADAMS,Fixture,2nd,B
103,ADAMS,Fixture,3rd,B
104,ADAMS,Fixture,3rd,B
105,ADAMS,Fixture,3rd,B
106,ADAMS,Fixture,1st,B
107,ADAMS,Fixture,2nd,B
108,ADAMS,Cortadora,2nd,B
109,ADAMS,Blender,1st,B
110,ADAMS,Cargador,1st,B
111,ADAMS,IMM,2nd,B
112,ADAMS,Secador,3rd,B
113,ADAMS,Cargador,3rd,B
114,ADAMS,Secador,3rd,B
115,ADAMS,IMM,3rd,B
116,ADAMS,IMM,3rd,B
117,ADAMS,IMM,2nd,B
118,ADAMS,Termoregulador,1st,B
119,ADAMS,Secador,2nd,B
120,ADAMS,Secador,2nd,B
121,ADAMS,Secador,2nd,B
122,ADAMS,Fixture,2nd,B
123,ADAMS,Blender,2nd,B
124,ADAMS,Secador,1st,B
125,ADAMS,Secador,1st,B
126,ADAMS,Secador,1st,B
127,ADAMS,Fixture,3rd,B
128,ADAMS,Secador,2nd,B
129,ADAMS,Secador,2nd,B
130,ADAMS,IMM,3rd,B
131,ADAMS,Cargador,2nd,B
132,ADAMS,Secador,2nd,B
133,ADAMS,Cargador,2nd,B
134,ADAMS,IMM,3rd,B
135,ADAMS,IMM,3rd,B
136,ADAMS,Blender,3rd,B
137,ADAMS,Blender,1st,B
138,ADAMS,IMM,3rd,B
139,ADAMS,IMM,2nd,B
140,ADAMS,Fixture,2nd,B
141,ADAMS,IMM,3rd,B
142,ADAMS,Fixture,3rd,B
143,ADAMS,IMM,1st,B
144,ADAMS,IMM,2nd,B
145,ADAMS,IMM,3rd,B
146,ADAMS,Cargador,3rd,B
147,ADAMS,Fixture,3rd,B
148,ADAMS,IMM,2nd,B
149,ADAMS,Termoregulador,2nd,B
150,ADAMS,Fixture,2nd,B
151,ADAMS,Fixture,2nd,B
152,ADAMS,Cargador,2nd,B
153,ADAMS,Termoregulador,1st,B
154,ADAMS,Fixture,2nd,B
155,ADAMS,Fixture,2nd,B
156,ADAMS,Blender,2nd,B
157,ADAMS,Secador,2nd,B
158,ADAMS,Secador,3rd,B
159,ADAMS,Secador,2nd,B
160,ADAMS,IMM,3rd,B
161,ADAMS,Secador,3rd,B
162,ADAMS,Fixture,2nd,B
163,ADAMS,IMM,2nd,B
164,ADAMS,Contenedor,3rd,B
165,ADAMS,Termoregulador,3rd,B
166,ADAMS,Fixture,2nd,B
167,ADAMS,IMM,1st,B
168,ADAMS,IMM,3rd,B
169,ADAMS,IMM,3rd,B
170,ADAMS,IMM,1st,B
171,ADAMS,IMM,2nd,B
172,ADAMS,Blender,1st,B
173,ADAMS,Blender,2nd,B
174,ADAMS,IMM,3rd,B
175,ADAMS,Fixture,2nd,B
176,ADAMS,Blender,2nd,B
177,ADAMS,IMM,1st,B
178,ADAMS,Fixture,2nd,B
179,ADAMS,Fixture,2nd,B
180,ADAMS,Secador,3rd,B
181,ADAMS,Fixture,3rd,B
182,ADAMS,IMM,2nd,B
183,ADAMS,Termoregulador,1st,B
184,ADAMS,Fixture,1st,B
185,ADAMS,Fixture,3rd,B
186,ADAMS,Fixture,1st,B
187,ADAMS,IMM,2nd,B
188,ADAMS,Cargador,1st,B
189,ADAMS,Fixture,3rd,B
190,ADAMS,IMM,2nd,B
191,ADAMS,IMM,1st,B
192,ADAMS,IMM,3rd,B
193,ADAMS,Secador,1st,B
194,ADAMS,IMM,1st,B
195,ADAMS,IMM,1st,B
196,ADAMS,Blender,1st,B
197,ADAMS,IMM,1st,B
198,ADAMS,Cargador,3rd,B
199,ADAMS,Blender,1st,B
200,ADAMS,IMM,2nd,B
201,ADAMS,Blender,2nd,B
202,ADAMS,Cargador,2nd,B
203,ADAMS,IMM,3rd,B
204,ADAMS,IMM,2nd,B
205,ADAMS,Fixture,2nd,B
206,ADAMS,Fixture,2nd,B
207,ADAMS,IMM,3rd,B
208,ADAMS,IMM,2nd,B
209,ADAMS,Termoregulador,2nd,B
210,ADAMS,IMM,1st,B
211,ADAMS,IMM,1st,B
212,ADAMS,Termoregulador,1st,B
213,ADAMS,IMM,3rd,B
214,ADAMS,Termoregulador,3rd,B
215,ADAMS,Termoregulador,1st,B
216,ADAMS,Cargador,2nd,B
217,ADAMS,Fixture,1st,B
218,AGUASCALIENTES,Fixture,3rd,A
219,AGUASCALIENTES,Robot,3rd,A
220,AGUASCALIENTES,IMM,1st,A
221,AGUASCALIENTES,Secador,2nd,A
222,AGUASCALIENTES,Cargador,3rd,A
223,AGUASCALIENTES,Blender,3rd,A
224,AGUASCALIENTES,Andom,3rd,A
225,AGUASCALIENTES,Fixture,2nd,A
226,AGUASCALIENTES,Cargador,3rd,A
227,AGUASCALIENTES,Cargador,3rd,A
228,AGUASCALIENTES,Thermo,2nd,A
229,AGUASCALIENTES,Cargador,2nd,A
230,AGUASCALIENTES,Fixture,2nd,A
231,AGUASCALIENTES,IMM,3rd,A
232,AGUASCALIENTES,IMM,2nd,A
233,AGUASCALIENTES,IMM,1st,A
234,AGUASCALIENTES,IMM,1st,A
235,AGUASCALIENTES,IMM,1st,A
236,AGUASCALIENTES,IMM,1st,A
237,AGUASCALIENTES,Fixture,1st,A
238,AGUASCALIENTES,Blender,2nd,A
239,AGUASCALIENTES,Termoregulador,2nd,A
240,AGUASCALIENTES,IMM,2nd,A
241,AGUASCALIENTES,Termoregulador,2nd,A
242,AGUASCALIENTES,Blender,1st,A
243,AGUASCALIENTES,Termoregulador,1st,A
244,AGUASCALIENTES,IMM,3rd,A
245,AGUASCALIENTES,IMM,2nd,A
246,AGUASCALIENTES,IMM,3rd,A
247,AGUASCALIENTES,Secador,1st,A
248,AGUASCALIENTES,IMM,2nd,A
249,AGUASCALIENTES,Fixture,2nd,A
250,AGUASCALIENTES,Andom,2nd,A
251,AGUASCALIENTES,Blender,3rd,A
252,AGUASCALIENTES,Termoregulador,2nd,A
253,AGUASCALIENTES,Andom,1st,A
254,AGUASCALIENTES,IMM,1st,A
255,AGUASCALIENTES,Fixture,3rd,A
256,AGUASCALIENTES,Fixture,1st,A
257,AGUASCALIENTES,Fixture,1st,A
258,AGUASCALIENTES,Blender,2nd,A
259,AGUASCALIENTES,Cortadora,2nd,A
260,AGUASCALIENTES,Cortadora,2nd,A
261,AGUASCALIENTES,IMM,2nd,A
262,AGUASCALIENTES,IMM,3rd,A
263,AHUALULCO,Feeder,1st,D
264,AHUALULCO,Termoregulador,3rd,D
265,AHUALULCO,IMM,2nd,D
266,AHUALULCO,Slider,1st,D
267,AHUALULCO,IMM,1st,D
268,AHUALULCO,Fixture,1st,D
269,AHUALULCO,IMM,1st,D
270,AHUALULCO,IMM,2nd,D
271,AHUALULCO,IMM,2nd,D
272,AHUALULCO,IMM,2nd,D
273,AHUALULCO,Blender,3rd,D
274,AHUALULCO,Blender,3rd,D
275,AHUALULCO,Blender,3rd,D
276,AHUALULCO,Fixture,2nd,D
277,AHUALULCO,Blender,2nd,D
278,AHUALULCO,Blender,3rd,D
279,AHUALULCO,IMM,1st,D
280,AHUALULCO,IMM,2nd,D
281,AHUALULCO,IMM,3rd,D
282,AHUALULCO,IMM,1st,D
283,AHUALULCO,Termoregulador,1st,D
284,AHUALULCO,Blender,1st,D
285,AHUALULCO,Blender,1st,D
286,AHUALULCO,IMM,2nd,D
287,AHUALULCO,IMM,2nd,D
288,AHUALULCO,Blender,2nd,D
289,AHUALULCO,IMM,3rd,D
290,AHUALULCO,IMM,2nd,D
291,AHUALULCO,IMM,2nd,D
292,AHUALULCO,IMM,3rd,D
293,AHUALULCO,Blender,1st,D
294,AHUALULCO,Fixture,3rd,D
295,AHUALULCO,IMM,1st,D
296,AHUALULCO,Blender,2nd,D
297,AHUALULCO,IMM,2nd,D
298,AHUALULCO,IMM,2nd,D
299,AHUALULCO,IMM,2nd,D
300,AHUALULCO,Blender,2nd,D
301,AHUALULCO,Termoregulador,2nd,D
302,AHUALULCO,IMM,2nd,D
303,AHUALULCO,Blender,2nd,D
304,AHUALULCO,IMM,2nd,D
305,AHUALULCO,Blender,3rd,D
306,AHUALULCO,Blender,1st,D
307,AHUALULCO,IMM,1st,D
308,AHUALULCO,IMM,2nd,D
309,AHUALULCO,IMM,2nd,D
310,AHUALULCO,Fixture,2nd,D
311,AHUALULCO,IMM,2nd,D
312,AHUALULCO,IMM,2nd,D
313,AHUALULCO,IMM,2nd,D
314,AHUALULCO,Blender,2nd,D
315,AHUALULCO,IMM,2nd,D
316,AHUALULCO,Hot Runner,2nd,D
317,AHUALULCO,Fixture,2nd,D
318,AHUALULCO,Andom,2nd,D
319,AHUALULCO,Fixture,2nd,D
320,AHUALULCO,Fixture,2nd,D
321,AHUALULCO,Fixture,2nd,D
322,AHUALULCO,IMM,2nd,D
323,AHUALULCO,Termoregulador,2nd,D
324,AHUALULCO,IMM,2nd,D
325,AHUALULCO,Secador,2nd,D
326,AHUALULCO,Blender,2nd,D
327,AHUALULCO,IMM,2nd,D
328,AHUALULCO,Cargador,2nd,D
329,AHUALULCO,Blender,2nd,D
330,AHUALULCO,Blender,2nd,D
331,AHUALULCO,Blender,2nd,D
332,AHUALULCO,Feeder,3rd,D
333,AHUALULCO,IMM,3rd,D
334,AHUALULCO,IMM,3rd,D
335,AHUALULCO,IMM,3rd,D
336,AHUALULCO,IMM,3rd,D
337,AHUALULCO,Robot,3rd,D
338,AHUALULCO,Robot,3rd,D
339,AHUALULCO,IMM,3rd,D
340,AHUALULCO,IMM,1st,D
341,AHUALULCO,IMM,2nd,D
342,AHUALULCO,IMM,1st,D
343,AHUALULCO,IMM,1st,D
344,AHUALULCO,IMM,1st,D
