Maquina,Indice_Tiempo,Tiempo_Entre_Fallas
AQUILES,18,0.084237998
AQUILES,19,0.463221597
AQUILES,20,0.236301007
AQUILES,21,0.993632674
AQUILES,22,4.815848727
AQUILES,23,0.214340972
AQUILES,24,1.012270521
AQUILES,25,0.193289931
AQUILES,26,1.06412956
AQUILES,27,0.26329162
AQUILES,28,1.379021377
AQUILES,29,2.965029896
AQUILES,30,0.973604248
AQUILES,31,0.632559688
AQUILES,32,0.565764387
AQUILES,33,23.51798353
AQUILES,34,86.26739845
AQUILES,35,6.825527396
AQUILES,36,3.923902083
AQUILES,37,1.490047986
AQUILES,38,11.67225571
AQUILES,39,5.214158611
AQUILES,40,36.84311065
AQUILES,41,0.12165934
AQUILES,42,0.141741898
AQUILES,43,0.071116042
AQUILES,44,34.87673403
AQUILES,45,42.99912497
AQUILES,46,42.80768738
AQUILES,47,50.1124665
AQUILES,48,4.662727002
ARANZAZU,1,0.139883831
ARANZAZU,2,0.417454167
ARANZAZU,3,0.658612002
ARANZAZU,4,45.94809089
ARANZAZU,5,17.25467639
ARANZAZU,6,0.058672338
ARANZAZU,7,10.4527608
ARANZAZU,8,13.63913661
ARANZAZU,9,13.95421204
ARANZAZU,10,0.691965162
ARANZAZU,11,1.371721296
ARANZAZU,12,17.19760344
ARANZAZU,13,0.276186181
ARANZAZU,14,1.892819178
ARANZAZU,15,2.898774618
ARANZAZU,16,4.861700393
ARANZAZU,17,75.47550463
ARANZAZU,18,42.20931215
ARANZAZU,19,3.324820602
ARANZAZU,20,18.09956419
ARANZAZU,21,0.480880556
ARANZAZU,22,0.031662234
ARANZAZU,23,2.289830475
ARANZAZU,24,0.253968322
ARANZAZU,25,0.553315324
ARANZAZU,26,28.34737404
ARANZAZU,27,4.657365625
ARANZAZU,28,57.28278858
ARANZAZU,29,8.327026701
ARANZAZU,30,60.8493644
ATOTONILCO,1,21.90128171
ATOTONILCO,2,1.554624271
ATOTONILCO,3,0.022169907
ATOTONILCO,4,1.184034607
ATOTONILCO,5,0.340549352
ATOTONILCO,6,2.018225891
ATOTONILCO,7,11.54609089
ATOTONILCO,8,15.66250425
ATOTONILCO,9,6.095193056
ATOTONILCO,10,4.858919016
ATOTONILCO,11,4.304159375
ATOTONILCO,12,0.37656956
ATOTONILCO,13,1.882617593
ATOTONILCO,14,3.527692396
ATOTONILCO,15,18.06860613
ATOTONILCO,16,35.43914711
ATOTONILCO,17,22.49845189
ATOTONILCO,18,6.678016319
ATOTONILCO,19,4.317719016
ATOTONILCO,20,5.96015132
ATOTONILCO,21,32.22928345
ATOTONILCO,22,13.97952437
ATOTONILCO,23,2.99997816
ATOTONILCO,24,10.45655818
ATOTONILCO,25,1.691926898
ATOTONILCO,26,12.06058892
ATOTONILCO,27,0.564595289
ATOTONILCO,28,23.67116617
ATOTONILCO,29,0.187386065
ATOTONILCO,30,0.325946678
ATOTONILCO,31,11.41951405
ATOTONILCO,32,0.627103356
ATOTONILCO,33,1.746218102
ATOTONILCO,34,3.476344132
ATOTONILCO,35,20.98513796
ATOTONILCO,36,0.389290937
ATOTONILCO,37,2.061403889
ATOTONILCO,38,7.293216898
ATOTONILCO,39,2.613788576
AUSTRIA,1,4.744242558
AUSTRIA,2,0.349752199
AUSTRIA,3,16.7062397
AUSTRIA,4,2.994487118
AUSTRIA,5,23.37576637
AUSTRIA,6,26.97787045
AUSTRIA,7,4.617962419
AUSTRIA,8,0.097797222
AUSTRIA,9,3.362037963
AUSTRIA,10,11.78212612
AUSTRIA,11,4.489632361
AUSTRIA,12,0.040493252
AUSTRIA,13,0.267658218
AUSTRIA,14,1.487711968
AUSTRIA,15,0.946719676
AUSTRIA,16,4.339388692
AUSTRIA,17,0.596396366
AUSTRIA,18,6.763364051
AUSTRIA,19,0.331814699
AUSTRIA,20,18.87985757
AUSTRIA,21,1.144277627
AUSTRIA,22,9.923430521
AUSTRIA,23,4.264549884
AUSTRIA,24,0.892025232
AUSTRIA,25,3.817880058
AUSTRIA,26,6.13540162
AUSTRIA,27,0.657512546
AUSTRIA,28,3.313961806
AUSTRIA,29,0.769594826
AUSTRIA,30,1.950626389
AUSTRIA,31,0.218177199
